STATUS | wrapper  | 2015/07/28 15:52:57 | --> Wrapper Started as Console
INFO   | jvm 1    | 2015/07/28 15:53:02 | 2015-07-28 15:53:02,822  INFO [WrapperSimpleAppMain] org.springframework.beans.factory.xml.XmlBeanDefinitionReader:317 - Loading XML bean definitions from file [D:\git-repos\mossle\sandbox\appassembler\target\lemon-1.5.0\webapps\ROOT\WEB-INF\classes\spring\ctx-module-notification.xml]
INFO   | jvm 1    | 2015/07/28 15:53:02 | 2015-07-28 15:53:02,842  INFO [WrapperSimpleAppMain] org.springframework.beans.factory.xml.XmlBeanDefinitionReader:317 - Loading XML bean definitions from file [D:\git-repos\mossle\sandbox\appassembler\target\lemon-1.5.0\webapps\ROOT\WEB-INF\classes\spring\ctx-module-process.xml]
INFO   | jvm 1    | 2015/07/28 15:53:02 | 2015-07-28 15:53:02,852  INFO [WrapperSimpleAppMain] org.springframework.beans.factory.xml.XmlBeanDefinitionReader:317 - Loading XML bean definitions from file [D:\git-repos\mossle\sandbox\appassembler\target\lemon-1.5.0\webapps\ROOT\WEB-INF\classes\spring\ctx-module-store.xml]
INFO   | jvm 1    | 2015/07/28 15:53:02 | 2015-07-28 15:53:02,862  INFO [WrapperSimpleAppMain] org.springframework.beans.factory.xml.XmlBeanDefinitionReader:317 - Loading XML bean definitions from file [D:\git-repos\mossle\sandbox\appassembler\target\lemon-1.5.0\webapps\ROOT\WEB-INF\classes\spring\ctx.xml]
INFO   | jvm 1    | 2015/07/28 15:53:04 | 2015-07-28 15:53:04,406  INFO [WrapperSimpleAppMain] com.mossle.core.spring.ApplicationPropertiesFactoryBean:172 - Loading properties file from class path resource [application.properties]
INFO   | jvm 1    | 2015/07/28 15:53:04 | 2015-07-28 15:53:04,406  INFO [WrapperSimpleAppMain] com.mossle.core.spring.ApplicationPropertiesFactoryBean:172 - Loading properties file from class path resource [application.local.properties]
INFO   | jvm 1    | 2015/07/28 15:53:04 | 2015-07-28 15:53:04,416  WARN [WrapperSimpleAppMain] com.mossle.core.spring.ApplicationPropertiesFactoryBean:181 - Could not load properties from class path resource [application.local.properties]: class path resource [application.local.properties] cannot be opened because it does not exist
INFO   | jvm 1    | 2015/07/28 15:53:04 | 2015-07-28 15:53:04,416  INFO [WrapperSimpleAppMain] com.mossle.core.spring.ApplicationPropertiesFactoryBean:172 - Loading properties file from class path resource [application.server.properties]
INFO   | jvm 1    | 2015/07/28 15:53:04 | 2015-07-28 15:53:04,416  WARN [WrapperSimpleAppMain] com.mossle.core.spring.ApplicationPropertiesFactoryBean:181 - Could not load properties from class path resource [application.server.properties]: class path resource [application.server.properties] cannot be opened because it does not exist
INFO   | jvm 1    | 2015/07/28 15:53:04 | 2015-07-28 15:53:04,486  INFO [WrapperSimpleAppMain] org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor:165 - Initializing ExecutorService 
INFO   | jvm 1    | 2015/07/28 15:53:04 | 2015-07-28 15:53:04,496  INFO [WrapperSimpleAppMain] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:309 - Bean 'targetExecutor' of type [class org.springframework.scheduling.config.TaskExecutorFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO   | jvm 1    | 2015/07/28 15:53:04 | 2015-07-28 15:53:04,496  INFO [WrapperSimpleAppMain] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:309 - Bean 'targetExecutor' of type [class org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO   | jvm 1    | 2015/07/28 15:53:04 | 2015-07-28 15:53:04,516  INFO [WrapperSimpleAppMain] com.mossle.core.spring.ProxyTaskScheduler:49 - com.mossle.user.scheduler.AccountLockJob.cleanEveryNight : false
INFO   | jvm 1    | 2015/07/28 15:53:04 | 2015-07-28 15:53:04,516  INFO [WrapperSimpleAppMain] com.mossle.core.spring.ProxyTaskScheduler:49 - com.mossle.user.scheduler.AccountLockJob.unlockFiveMinute : false
INFO   | jvm 1    | 2015/07/28 15:53:04 | 2015-07-28 15:53:04,516  INFO [WrapperSimpleAppMain] com.mossle.core.spring.ProxyTaskScheduler:49 - com.mossle.internal.sendmail.scheduler.SendMailJob.execute : false
INFO   | jvm 1    | 2015/07/28 15:53:04 | 2015-07-28 15:53:04,516  INFO [WrapperSimpleAppMain] org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler:165 - Initializing ExecutorService 
INFO   | jvm 1    | 2015/07/28 15:53:04 | 2015-07-28 15:53:04,516  INFO [WrapperSimpleAppMain] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:309 - Bean 'targetScheduler' of type [class com.mossle.core.spring.ProxyTaskScheduler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO   | jvm 1    | 2015/07/28 15:53:04 | [Server@1c3b6dbd]: [Thread[WrapperSimpleAppMain,5,main]]: checkRunning(false) entered
INFO   | jvm 1    | 2015/07/28 15:53:04 | [Server@1c3b6dbd]: [Thread[WrapperSimpleAppMain,5,main]]: checkRunning(false) exited
